Date,Open,High,Low,Close,Volume
2026-02-14,100.49867796493149,102.700805065874,99.46356360609897,100.0,4654860.763281602
2026-02-15,100.0,100.5052042470914,98.48251644915273,99.42787411339744,1479327.5327175497
2026-02-16,99.42787411339744,101.4039563509481,98.91903534276057,99.96244108928869,4510191.266761331
2026-02-17,99.96244108928869,103.15941270989426,98.09375915249596,100.82801489094079,3331269.83301431
2026-02-18,100.82801489094079,103.25432629895352,100.37267127359668,102.55092010004603,1091253.0538774393
2026-02-19,102.55092010004603,105.53087362303017,100.13112740646831,102.11619342156345,4253626.960224043
2026-02-20,102.11619342156345,103.91051209790807,101.7499247242017,102.26995788080025,3795719.4094562335
2026-02-21,102.26995788080025,108.14674188978606,100.67186544428095,104.94417330434013,4850222.376565217
2026-02-22,104.94417330434013,106.60114794899907,101.99022057542129,102.92838890359656,2242911.851097575
2026-02-23,102.92838890359656,105.53448559224637,101.82916946395892,103.41762851074172,4018288.3066695062
2026-02-24,103.41762851074172,103.67904449122214,102.638959720965,103.30909324855655,4354573.4372777
2026-02-25,103.30909324855655,105.14276070012139,98.75039920119852,103.99601115108722,1158533.0953182909
2026-02-26,103.99601115108722,106.4957897526949,102.67668823491684,106.0202669580944,2556575.5494610416
2026-02-27,106.0202669580944,106.66838923745138,105.71231918505653,106.49227195279279,2418198.061964341
2026-02-28,106.49227195279279,108.66313985902674,105.6670535816145,106.82379827619205,2487134.063611543
2026-03-01,106.82379827619205,107.17558181504226,105.7043322169056,105.86017398475904,4464709.898173252
2026-03-02,105.86017398475904,106.83247404624066,103.83334519560272,104.70698779715563,3804416.3025234262
2026-03-03,104.70698779715563,107.59456785016775,103.66967223180174,105.72248566086844,1505716.372957102
2026-03-04,105.72248566086844,108.72595382550328,104.6659726720244,107.73397639460283,4877768.324788548
2026-03-05,107.73397639460283,110.07608994008413,106.5002195353317,108.06398824738145,4134515.2727320082
2026-03-06,108.06398824738145,109.89603158350961,107.12469889320893,107.74649852115233,3119118.6266711345
2026-03-07,107.74649852115233,110.02611018937942,106.79244050152091,108.58011503140705,1752716.3464424838
